tweet_id,retweet_count,favorite_count,rating,intercept,group
666020888022790149,472,2455,0.8,1,low
666029285002620928,43,121,0.7,1,low
666033412701032449,43,117,0.9,1,low
666044226329800704,134,276,0.6,1,low
666049248165822465,41,99,0.5,1,low
666050758794694657,55,125,1.0,1,low
666051853826850816,791,1148,0.2,1,low
666055525042405380,224,414,1.0,1,low
666057090499244032,129,274,0.9,1,low
666058600524156928,55,107,0.8,1,low
666063827256086533,201,452,1.0,1,low
666071193221509120,54,137,0.9,1,low
666073100786774016,147,302,1.0,1,low
666082916733198337,42,104,0.6,1,low
666094000022159362,68,156,0.9,1,low
666099513787052032,62,143,0.8,1,low
666102155909144576,11,73,1.1,1,high
666104133288665088,6074,13621,0.1,1,low
666268910803644416,32,96,1.0,1,low
666273097616637952,74,161,1.1,1,high
666287406224695296,62,139,0.9,1,low
666293911632134144,324,470,0.3,1,low
666337882303524864,85,182,0.9,1,low
666345417576210432,129,279,1.0,1,low
666353288456101888,71,205,0.8,1,low
666362758909284353,531,735,0.6,1,low
666373753744588802,86,175,1.1,1,high
666396247373291520,80,159,0.9,1,low
666407126856765440,34,100,0.7,1,low
666411507551481857,311,417,0.2,1,low
666418789513326592,43,114,1.0,1,low
666421158376562688,107,304,1.2,1,high
666428276349472768,78,155,0.7,1,low
666430724426358785,180,300,0.6,1,low
666435652385423360,49,159,1.0,1,low
666437273139982337,42,117,0.7,1,low
666447344410484738,18,98,0.9,1,low
666454714377183233,203,495,1.0,1,low
666644823164719104,76,222,0.9,1,low
666649482315059201,594,1081,0.4,1,low
666691418707132416,45,180,0.8,1,low
666701168228331520,210,412,0.8,1,low
666739327293083650,62,224,1.0,1,low
666776908487630848,167,333,0.5,1,low
666781792255496192,183,368,1.0,1,low
666786068205871104,468,723,0.2,1,low
666804364988780544,86,224,0.8,1,low
666817836334096384,241,494,0.9,1,low
666826780179869698,91,244,1.2,1,high
666835007768551424,77,203,1.0,1,low
666837028449972224,535,782,0.3,1,low
666983947667116034,940,2463,1.1,1,high
666996132027977728,85,234,1.0,1,low
667012601033924608,215,431,0.9,1,low
667044094246576128,47,179,1.2,1,high
667062181243039745,51,211,1.0,1,low
667065535570550784,42,161,0.8,1,low
667073648344346624,115,385,1.0,1,low
667090893657276420,119,323,0.7,1,low
667119796878725120,124,319,1.0,1,low
667138269671505920,2116,4461,1.0,1,low
667152164079423490,16337,46250,1.2,1,high
667160273090932737,60,249,1.1,1,high
667165590075940865,1094,2599,1.0,1,low
667171260800061440,81,212,1.0,1,low
667174963120574464,76,235,0.9,1,low
667176164155375616,444,585,0.4,1,low
667177989038297088,53,184,0.8,1,low
667182792070062081,5956,13906,1.0,1,low
667188689915760640,390,722,1.0,1,low
667192066997374976,98,372,1.2,1,high
667200525029539841,255,596,1.1,1,high
667211855547486208,233,470,0.9,1,low
667369227918143488,155,353,1.0,1,low
667393430834667520,52,190,0.8,1,low
667405339315146752,215,453,0.7,1,low
667435689202614272,82,300,1.2,1,high
667437278097252352,227,439,1.0,1,low
667443425659232256,557,757,0.6,1,low
667453023279554560,85,299,1.1,1,high
667455448082227200,57,185,0.7,1,low
667470559035432960,94,249,1.1,1,high
667491009379606528,217,519,0.7,1,low
667495797102141441,259,505,0.9,1,low
667502640335572993,213,524,1.1,1,high
667509364010450944,2051,6606,1.2,1,high
667517642048163840,184,360,0.8,1,low
667524857454854144,1075,1651,1.2,1,high
667530908589760512,227,454,1.0,1,low
667534815156183040,505,799,0.8,1,low
667538891197542400,63,198,0.9,1,low
667544320556335104,506,843,0.7,1,low
667546741521195010,119,331,0.9,1,low
667549055577362432,2193,5624,0.1,1,low
667724302356258817,308,466,0.7,1,low
667728196545200128,144,368,1.1,1,high
667766675769573376,207,427,0.9,1,low
667773195014021121,54,230,0.8,1,low
667782464991965184,239,402,0.9,1,low
667793409583771648,318,686,0.8,1,low
667801013445750784,93,320,1.2,1,high
667806454573760512,476,1030,1.0,1,low
667832474953625600,60,288,1.2,1,high
667861340749471744,74,235,0.9,1,low
667866724293877760,996,2942,1.0,1,low
667873844930215936,392,615,1.0,1,low
667878741721415682,114,380,0.2,1,low
667885044254572545,465,796,1.0,1,low
667886921285246976,1045,1827,1.1,1,high
667902449697558528,367,832,0.9,1,low
667911425562669056,292,478,0.5,1,low
667915453470232577,54,201,1.0,1,low
667924896115245057,108,291,0.9,1,low
667937095915278337,769,1223,0.3,1,low
668113020489474048,232,655,0.6,1,low
668142349051129856,274,564,0.2,1,low
668154635664932864,299,481,0.9,1,low
668171859951755264,188,472,0.7,1,low
668190681446379520,192,633,1.2,1,high
668204964695683073,189,544,0.8,1,low
668221241640230912,192,501,1.0,1,low
668226093875376128,100,292,1.0,1,low
668237644992782336,2766,6045,1.0,1,low
668248472370458624,468,954,0.8,1,low
668256321989451776,587,1269,1.3,1,high
668268907921326080,230,543,1.0,1,low
668274247790391296,226,803,1.0,1,low
668286279830867968,133,492,1.1,1,high
668291999406125056,29,235,1.0,1,low
668297328638447616,293,612,0.9,1,low
668466899341221888,500,863,0.4,1,low
668480044826800133,142,447,1.1,1,high
668484198282485761,230,415,0.9,1,low
668496999348633600,127,401,0.8,1,low
668507509523615744,101,318,1.0,1,low
668528771708952576,217,449,1.2,1,high
668537837512433665,70,246,0.0,1,
668542336805281792,210,444,1.0,1,low
668544745690562560,215,502,1.0,1,low
668567822092664832,51,238,1.1,1,high
668614819948453888,311,605,0.7,1,low
668620235289837568,38,195,1.0,1,low
668623201287675904,741,1394,1.0,1,low
668625577880875008,127,378,1.0,1,low
668627278264475648,110,309,0.9,1,low
668631377374486528,308,693,0.5,1,low
668633411083464705,1578,2733,1.0,1,low
668636665813057536,480,1023,1.0,1,low
668641109086707712,526,1046,1.0,1,low
668643542311546881,517,857,0.3,1,low
668645506898350081,516,859,1.1,1,high
668655139528511488,213,518,1.1,1,high
668779399630725120,365,693,1.0,1,low
668815180734689280,261,556,0.7,1,low
668826086256599040,132,427,1.0,1,low
668852170888998912,158,444,1.1,1,high
668872652652679168,290,516,1.1,1,high
668892474547511297,146,390,1.1,1,high
668902994700836864,98,313,1.1,1,high
668932921458302977,55,258,0.9,1,low
668955713004314625,68,273,1.0,1,low
668960084974809088,233,690,1.0,1,low
668975677807423489,563,1270,1.1,1,high
668979806671884288,337,776,1.2,1,high
668981893510119424,296,526,0.4,1,low
668986018524233728,161,542,0.9,1,low
668988183816871936,453,880,0.7,1,low
668989615043424256,322,666,0.3,1,low
668992363537309700,334,727,0.8,1,low
668994913074286592,224,432,0.5,1,low
669000397445533696,6205,20426,1.1,1,high
669006782128353280,241,564,1.2,1,high
669015743032369152,366,727,1.0,1,low
669037058363662336,301,638,0.8,1,low
669203728096960512,462,984,0.9,1,low
669214165781868544,158,429,1.0,1,low
669216679721873412,396,1175,0.8,1,low
669324657376567296,201,492,1.1,1,high
669327207240699904,114,566,1.3,1,high
669328503091937280,409,998,1.2,1,high
669351434509529089,174,425,1.0,1,low
669353438988365824,255,625,1.0,1,low
669354382627049472,1247,2637,0.8,1,low
669359674819481600,118,366,1.1,1,high
669363888236994561,219,610,1.0,1,low
669367896104181761,146,454,1.0,1,low
669371483794317312,173,490,1.0,1,low
669375718304980992,706,1306,0.6,1,low
669393256313184256,72,356,1.0,1,low
669564461267722241,120,377,1.0,1,low
669567591774625800,54,230,0.9,1,low
669571471778410496,988,1565,0.7,1,low
669573570759163904,134,428,1.0,1,low
669583744538451968,901,1465,0.6,1,low
669597912108789760,147,506,1.0,1,low
669603084620980224,352,931,1.0,1,low
669625907762618368,1775,3457,1.2,1,high
669661792646373376,419,790,0.5,1,low
669680153564442624,276,653,0.8,1,low
669682095984410625,130,346,0.9,1,low
669683899023405056,108,380,1.0,1,low
669749430875258880,64,258,0.8,1,low
669753178989142016,386,797,1.0,1,low
669923323644657664,53,229,1.0,1,low
669926384437997569,98,366,1.2,1,high
669942763794931712,156,494,1.1,1,high
669970042633789440,58,299,1.0,1,low
669972011175813120,153,435,1.0,1,low
669993076832759809,82,319,0.9,1,low
670003130994700288,89,326,1.0,1,low
670037189829525505,263,581,0.5,1,low
670040295598354432,110,742,1.0,1,low
670046952931721218,166,634,1.1,1,high
670055038660800512,322,652,0.3,1,low
670061506722140161,326,747,1.1,1,high
670069087419133954,229,608,0.5,1,low
670073503555706880,764,1546,1.0,1,low
670079681849372674,1190,2179,1.0,1,low
670086499208155136,244,686,1.0,1,low
670093938074779648,325,1001,0.9,1,low
670290420111441920,275,690,1.1,1,high
670303360680108032,128,423,0.9,1,low
670319130621435904,1191,3800,1.1,1,high
670338931251150849,105,416,1.0,1,low
670361874861563904,63,323,0.9,1,low
670374371102445568,264,738,1.2,1,high
670385711116361728,199,549,0.8,1,low
670403879788544000,150,419,1.0,1,low
670408998013820928,215,546,1.0,1,low
670411370698022913,866,1982,1.2,1,high
670417414769758208,313,556,0.6,1,low
670420569653809152,305,610,1.0,1,low
670421925039075328,611,1275,1.2,1,high
670427002554466305,154,513,0.9,1,low
670428280563085312,601,1349,1.1,1,high
670433248821026816,109,322,1.0,1,low
670434127938719744,625,1366,0.9,1,low
670435821946826752,503,1030,1.0,1,low
670442337873600512,192,630,1.1,1,high
670444955656130560,1928,6573,1.0,1,low
670449342516494336,634,1170,0.5,1,low
670452855871037440,200,536,1.1,1,high
670465786746662913,535,949,0.7,1,low
670468609693655041,84,347,1.0,1,low
670474236058800128,720,1479,1.0,1,low
670668383499735048,4897,10460,1.0,1,low
670676092097810432,40,241,0.8,1,low
670679630144274432,275,736,0.8,1,low
670691627984359425,236,581,0.8,1,low
670704688707301377,361,759,0.6,1,low
670717338665226240,476,1174,1.2,1,high
670727704916926465,348,806,1.0,1,low
670733412878163972,498,937,0.8,1,low
670755717859713024,107,428,0.9,1,low
670764103623966721,408,1052,1.0,1,low
670778058496974848,71,324,1.0,1,low
670780561024270336,282,772,0.7,1,low
670782429121134593,746,1525,0.5,1,low
670783437142401025,377,806,0.1,1,low
670786190031921152,196,592,0.8,1,low
670789397210615808,232,649,0.9,1,low
670792680469889025,269,807,0.7,1,low
670797304698376195,231,721,1.1,1,high
670803562457407488,86,334,1.0,1,low
670804601705242624,931,1919,1.0,1,low
670807719151067136,481,1137,1.1,1,high
670811965569282048,264,1104,1.0,1,low
670815497391357952,1501,3110,1.0,1,low
670822709593571328,92,595,1.0,1,low
670823764196741120,182,760,1.2,1,high
670826280409919488,3951,5419,0.2,1,low
670832455012716544,209,720,1.0,1,low
670833812859932673,119,430,0.7,1,low
670838202509447168,675,1087,0.4,1,low
670840546554966016,189,579,1.0,1,low
670995969505435648,287,1085,1.2,1,high
671109016219725825,424,1122,0.8,1,low
671115716440031232,754,1342,0.6,1,low
671122204919246848,2461,3421,0.4,1,low
671134062904504320,188,733,0.8,1,low
671138694582165504,392,901,1.0,1,low
671141549288370177,641,1129,0.9,1,low
671147085991960577,212,651,0.9,1,low
671151324042559489,150,655,1.2,1,high
671154572044468225,211,698,0.9,1,low
671159727754231808,79,363,0.5,1,low
671163268581498880,1069,1619,0.8,1,low
671166507850801152,337,854,1.0,1,low
671182547775299584,332,1096,1.2,1,high
671186162933985280,206,721,1.0,1,low
671347597085433856,417,936,0.9,1,low
671355857343524864,114,475,1.0,1,low
671357843010908160,147,393,0.9,1,low
671362598324076544,291,1082,1.1,1,high
671390180817915904,732,1419,0.7,1,low
671485057807351808,227,747,1.1,1,high
671486386088865792,191,571,1.0,1,low
671488513339211776,459,986,0.8,1,low
671497587707535361,437,893,1.1,1,high
671504605491109889,3469,6846,1.1,1,high
671511350426865664,693,1570,0.8,1,low
671518598289059840,287,933,0.9,1,low
671520732782923777,517,1366,1.0,1,low
671528761649688577,252,829,1.0,1,low
671533943490011136,565,1004,0.6,1,low
671536543010570240,393,1154,0.9,1,low
671538301157904385,382,917,0.8,1,low
671542985629241344,550,1073,1.0,1,low
671544874165002241,1025,1935,0.6,1,low
671547767500775424,578,1317,1.0,1,low
671561002136281088,7055,12520,1.3,1,high
671729906628341761,4247,8329,1.3,1,high
671735591348891648,736,1412,1.1,1,high
671743150407421952,231,733,1.1,1,high
671744970634719232,741,1328,0.6,1,low
671763349865160704,888,1640,0.9,1,low
671768281401958400,492,1170,1.0,1,low
671789708968640512,3388,6911,1.3,1,high
671855973984772097,426,881,0.8,1,low
671866342182637568,478,1097,1.0,1,low
671874878652489728,539,1223,1.0,1,low
671879137494245376,651,1382,0.5,1,low
671882082306625538,1354,3397,1.1,1,high
671891728106971137,561,1298,1.1,1,high
671896809300709376,4063,8329,1.0,1,low
672068090318987265,504,1268,0.7,1,low
672082170312290304,354,925,1.1,1,high
672095186491711488,362,984,0.9,1,low
672125275208069120,1112,2339,1.1,1,high
672139350159835138,675,1707,1.2,1,high
672160042234327040,349,856,0.8,1,low
672169685991993344,359,997,1.0,1,low
672205392827572224,1121,2217,0.9,1,low
672222792075620352,205,767,0.9,1,low
672231046314901505,980,1787,0.5,1,low
672239279297454080,315,878,0.7,1,low
672245253877968896,153,673,1.2,1,high
672248013293752320,589,1694,1.0,1,low
672254177670729728,719,1407,1.1,1,high
672256522047614977,1507,2760,0.8,1,low
672264251789176834,327,1118,1.0,1,low
672267570918129665,601,1467,1.0,1,low
672272411274932228,3281,6327,1.1,1,high
672466075045466113,520,1327,1.2,1,high
672475084225949696,684,1406,0.8,1,low
672481316919734272,123,708,1.2,1,high
672482722825261057,583,1108,1.0,1,low
672488522314567680,427,1088,1.0,1,low
672523490734551040,163,621,1.0,1,low
672538107540070400,352,1011,0.7,1,low
672591271085670400,177,705,0.8,1,low
672591762242805761,328,930,1.0,1,low
672594978741354496,594,1309,0.9,1,low
672604026190569472,387,1093,1.1,1,high
672609152938721280,378,1092,0.9,1,low
672614745925664768,562,1202,0.6,1,low
672622327801233409,479,1271,1.2,1,high
672640509974827008,311,959,0.9,1,low
672828477930868736,478,1234,0.9,1,low
672834301050937345,551,1294,1.0,1,low
672877615439593473,349,1014,0.8,1,low
672884426393653248,820,1514,0.6,1,low
672898206762672129,415,888,1.1,1,high
672902681409806336,490,1340,0.9,1,low
672964561327235073,623,1393,1.0,1,low
672968025906282496,526,1297,1.1,1,high
672970152493887488,349,930,0.7,1,low
672975131468300288,886,1644,1.0,1,low
672980819271634944,982,1783,0.5,1,low
672984142909456390,532,1234,0.9,1,low
672988786805112832,284,968,1.0,1,low
672995267319328768,283,933,0.8,1,low
672997845381865473,698,1927,1.2,1,high
673148804208660480,612,1660,0.8,1,low
673213039743795200,825,2198,1.0,1,low
673240798075449344,710,1399,0.6,1,low
673270968295534593,353,1050,1.1,1,high
673295268553605120,3101,7375,0.9,1,low
673317986296586240,248,860,1.0,1,low
673320132811366400,7737,13228,1.1,1,high
673342308415348736,565,1243,1.0,1,low
673343217010679808,265,948,1.1,1,high
673345638550134785,1232,2455,0.7,1,low
673350198937153538,205,734,0.9,1,low
673352124999274496,527,1633,1.2,1,high
673355879178194945,560,1469,1.1,1,high
673359818736984064,658,1419,0.8,1,low
673363615379013632,297,1001,1.1,1,high
673576835670777856,549,1360,0.7,1,low
673580926094458881,266,816,0.8,1,low
673583129559498752,350,1169,1.1,1,high
673612854080196609,707,1578,0.7,1,low
673636718965334016,351,1086,1.0,1,low
673656262056419329,234,702,1.0,1,low
673662677122719744,357,1229,1.2,1,high
673680198160809984,456,1347,1.3,1,high
673686845050527744,431,1414,1.1,1,high
673688752737402881,483,1244,0.9,1,low
673689733134946305,635,1702,1.1,1,high
673697980713705472,1904,3727,0.8,1,low
673700254269775872,552,1411,0.3,1,low
673705679337693185,396,1236,0.8,1,low
673707060090052608,383,1082,1.0,1,low
673708611235921920,278,1059,1.2,1,high
673709992831262724,267,825,1.2,1,high
673711475735838725,297,1020,1.0,1,low
673715861853720576,2023,3487,0.4,1,low
673887867907739649,249,920,1.0,1,low
673906403526995968,1606,3138,0.3,1,low
673919437611909120,363,1146,1.1,1,high
673956914389192708,933,1918,1.0,1,low
674008982932058114,343,1179,1.0,1,low
674014384960745472,622,1535,1.1,1,high
674019345211760640,298,1108,1.0,1,low
674024893172875264,1195,1755,1.0,1,low
674036086168010753,204,835,0.9,1,low
674038233588723717,407,1085,1.2,1,high
674042553264685056,123,711,1.2,1,high
674045139690631169,627,1390,0.3,1,low
674051556661161984,482,1424,1.0,1,low
674053186244734976,1272,3255,1.0,1,low
674063288070742018,2165,6265,0.5,1,low
674075285688614912,280,973,1.1,1,high
674082852460433408,164,746,1.1,1,high
674255168825880576,540,1446,1.0,1,low
674262580978937856,445,1283,0.9,1,low
674265582246694913,837,1617,0.2,1,low
674269164442398721,224,891,0.8,1,low
674271431610523648,721,1542,1.0,1,low
674291837063053312,5767,14509,1.1,1,high
674318007229923329,510,1389,0.8,1,low
674372068062928900,308,832,1.0,1,low
674394782723014656,560,1486,0.8,1,low
674410619106390016,452,1183,1.0,1,low
674416750885273600,137,671,1.0,1,low
674422304705744896,532,1418,1.2,1,high
674436901579923456,385,1094,0.9,1,low
674447403907457024,350,1042,1.0,1,low
674468880899788800,2003,6132,1.3,1,high
674632714662858753,563,1478,0.5,1,low
674638615994089473,568,1661,1.2,1,high
674644256330530816,262,1014,1.1,1,high
674646392044941312,483,1419,0.6,1,low
674664755118911488,249,900,1.0,1,low
674670581682434048,638,1580,0.9,1,low
674690135443775488,464,1129,0.3,1,low
674737130913071104,88,636,0.7,1,low
674739953134403584,380,1087,1.1,1,high
674743008475090944,544,1384,1.0,1,low
674752233200820224,457,1442,1.2,1,high
674754018082705410,441,1349,1.2,1,high
674764817387900928,231,781,1.0,1,low
674767892831932416,774,1806,1.2,1,high
674774481756377088,462,1096,1.1,1,high
674781762103414784,1182,1969,0.8,1,low
674788554665512960,203,807,0.9,1,low
674790488185167872,244,1088,1.3,1,high
674793399141146624,1072,2477,1.3,1,high
674800520222154752,847,2983,1.1,1,high
674805413498527744,350,849,1.0,1,low
674999807681908736,1091,2217,1.3,1,high
675003128568291329,462,1542,1.2,1,high
675006312288268288,222,970,1.0,1,low
675015141583413248,1173,2676,1.0,1,low
675047298674663426,321,1051,1.1,1,high
675109292475830276,1121,2763,0.9,1,low
675111688094527488,248,951,0.8,1,low
675113801096802304,774,1929,1.0,1,low
675135153782571009,483,1279,0.5,1,low
675145476954566656,889,2111,0.9,1,low
675146535592706048,297,1173,0.7,1,low
675147105808306176,230,932,1.0,1,low
675149409102012420,1660,3694,1.2,1,high
675153376133427200,2548,6207,0.1,1,low
675166823650848770,1578,3558,1.0,1,low
675334060156301312,1268,2748,1.2,1,high
675349384339542016,2242,3873,1.3,1,high
675354435921575936,16709,32342,1.3,1,high
675362609739206656,227,1033,1.2,1,high
675372240448454658,509,1675,1.3,1,high
675432746517426176,558,1509,1.2,1,high
675483430902214656,969,1820,0.5,1,low
675489971617296384,593,1288,1.0,1,low
675497103322386432,1283,3108,1.1,1,high
675501075957489664,5764,17002,1.3,1,high
675517828909424640,461,1281,1.2,1,high
675522403582218240,285,1031,1.0,1,low
675531475945709568,376,1180,1.0,1,low
675534494439489536,410,1802,1.1,1,high
675706639471788032,94,639,1.0,1,low
675707330206547968,680,1959,1.1,1,high
675710890956750848,809,1874,1.2,1,high
675740360753160193,343,1163,1.2,1,high
675781562965868544,463,1620,1.1,1,high
675798442703122432,3382,10194,1.0,1,low
675820929667219457,230,1042,1.1,1,high
675822767435051008,530,1505,1.0,1,low
675845657354215424,867,2255,1.0,1,low
675853064436391936,1282,2671,1.1,1,high
675870721063669760,564,1626,1.1,1,high
675878199931371520,1388,4152,1.1,1,high
675888385639251968,949,2368,1.0,1,low
675891555769696257,847,2121,0.6,1,low
675898130735476737,566,1609,1.0,1,low
676089483918516224,432,1307,0.9,1,low
676098748976615425,1414,2990,0.3,1,low
676101918813499392,1152,2806,1.1,1,high
676146341966438401,657,1906,1.0,1,low
676191832485810177,1029,2274,0.8,1,low
676215927814406144,574,1732,0.9,1,low
676219687039057920,30851,75428,1.0,1,low
676237365392908289,286,1212,0.8,1,low
676263575653122048,546,2074,1.0,1,low
676430933382295552,344,1393,1.0,1,low
